   Compiling ahc025 v0.1.0 (/home/light/kyopro/ahc025)
    Finished dev [unoptimized + debuginfo] target(s) in 0.40s
     Running `target/debug/test a`
254 747965 2.375 6
157 746120 3.8607595 10
10 741678 26 10
510 740936 27.9625 7
692 740101 18.055555 3
664 739940 11.896907 15
71 735275 27.462963 3
387 734874 3.6 3
441 733543 3.6777778 6
853 732255 2.2567568 4
526 731403 14.648149 7
367 726239 9.844444 8
806 724227 7.520408 8
883 722954 23.392405 17
123 720950 4.4367814 2
366 716337 30.42 5
729 712281 3.9390244 10
189 712129 2.0666666 5
170 711933 18.030304 4
471 711296 29.101265 18
276 709848 6.402174 14
527 704777 8.9375 9
581 697348 5.882353 6
201 696953 20.67742 6
773 687370 24.34091 7
586 682142 21.657894 12
879 679645 16.382978 8
12 674602 15.493506 13
144 667131 10.326316 13
670 665374 2.7894738 4
336 660161 7.5675673 4
87 657301 2.1551723 2
185 656623 12.014925 6
605 656311 4.7395835 10
851 656159 7.9259257 4
723 655805 4.9333334 7
314 655105 13.505155 10
804 654214 29.870968 7
385 648120 2.5 3
181 645618 10.25 8
725 645350 5.3023257 2
55 640026 8.48718 6
549 639770 3.7179487 3
411 637937 20 3
299 635077 23.193548 3
285 634389 24.757143 11
329 632058 21.39785 17
641 626673 17.846153 5
324 620243 30.16092 8
748 620035 5.3965516 5
18 619136 15.117647 9
305 616865 4.769231 3
343 616615 6.3880596 7
178 614582 12.487804 10
784 611706 17.466667 14
875 609229 5.362319 13
262 607825 4.5263157 7
866 603250 6.181818 2
598 590965 11.157895 7
643 586721 27.512196 10
333 585319 11.245902 5
870 584086 2.032258 3
536 577373 5.5740743 6
864 574770 21.554216 10
99 573350 14.9375 2
438 571216 20.27451 6
697 569101 23.083334 2
838 563508 3.92 8
898 556801 4.5365853 2
139 554950 10.653061 2
405 554301 20.28125 2
860 551572 10.204545 7
103 550126 10.195652 7
110 547496 28 3
960 546136 19.306122 8
267 544709 10.025641 6
30 542143 5.5405407 3
327 541690 28.216217 7
967 535899 24.354166 11
943 526622 9.614458 5
693 526096 5.75 3
264 522401 3.40625 2
623 514349 2.3454545 4
656 512077 3.9636364 7
690 511950 4.090909 2
148 510849 23.52459 5
836 507913 26.767443 6
933 506286 16.615385 4
136 501789 3.2972972 4
855 498503 5.06383 5
283 496161 3.9 5
84 493411 21.588236 5
128 492100 15.470589 6
126 490863 8.489583 7
856 490449 8 6
961 490274 9.77551 10
722 489583 10.75 5
458 487783 3.5306122 6
433 487750 4.731707 2
699 486487 5.2380953 7
710 482681 27.13 4
715 481857 3.66 9
835 479775 17.092592 9
666 479395 27.76923 8
876 479018 23.293333 6
495 477523 8.867925 5
805 474495 29.595745 7
323 472742 6.4615383 3
662 470101 4.2588234 2
505 468979 23.73913 6
572 464080 15.757576 8
941 460192 7.744681 7
141 457032 19.873564 19
158 456354 20.796297 6
337 451717 2.875 5
65 451112 4.519231 5
946 447897 16.232323 8
799 444244 8.423077 4
519 443201 2.75 2
162 442086 4.8142858 11
800 440398 8.169492 7
23 439920 18.118645 6
397 436366 19.431818 5
241 432378 8.84375 5
485 426935 24.142857 13
576 425943 16.77551 13
824 425030 7.204819 9
965 421939 9.773585 10
407 419453 2.8 5
388 416944 12.8 5
194 416599 5.4117646 5
522 415708 4.0571427 6
612 411835 30.809525 8
740 410135 4.7462687 3
295 407308 30.97647 17
531 406950 4.982143 2
724 405067 5.3421054 3
372 403493 3.2688172 7
924 402538 23.42623 10
